TestCase Type,Testing Method,Feature Scenario,Description,TestcaseId,Testcase Criticality,Testcase Precondition,Testcase steps,Expected Result
FT,API,List APIVersion,List the the API Version ,,H,"1. Opensds (Hotpot) must be Installed and all processes running 
2. Block Profile must be created","curl -X GET -H ""Content-Type: application/json"" -url http://127.0.0.1:50040/v1beta","List of Name, Status, UpdatedAt"
FT,CLI,List APIVersion,List the the API Version ,,H,Same as API_01,osdsctl version list,"List of Name, Status, UpdatedAt"
FT,CLI,Show APIVersion,Show the the API Version ,,H,Same as API_01,osdsctl version sho <name>,"List of Name, Status, UpdatedAt"
FT,API,List all Docks,List the all dock of hotpot,,H,Same as API_01,"curl -X GET -H ""Content-Type: application/json"" -url http://127.0.0.1:50040/v1beta/e93b4c0934da416eb9c8d120c5d04d96/docks",List all docks seperated by comma
FT,API,List one Dock,List single Docks,,,Same as API_01,"curl -X GET -H ""Content-Type: application/json"" -url http://127.0.0.1:50040/v1beta/e93b4c0934da416eb9c8d120c5d04d96/docks/<dockid>",List a single dock detail
FT,CLI,List all Docks,List the all dock of hotpot,,H,Same as API_01,osdsctl dock list,List all docks seperated by comma
FT,CLI,List one Dock,List single Docks,,,Same as API_01,osdsctl dock list <dockid>,List a single dock detail
FT,API,List AvailabiltyZones,List All availabilty zones of hotpot,,,Same as API_01,"curl -X GET -H ""Content-Type: application/json"" -url http://127.0.0.1:50040/v1beta/e93b4c0934da416eb9c8d120c5d04d96/availabilityZones",List all availabiliy zones
FT,CLI,List AvailabiltyZones,List All availabilty zones of hotpot,,,Same as API_01,No STEPS GIVEN,List all availabiliy zones
FT,API,List profiles,List all profiles,,,Same as API_01,/profiles,List all profiles in details
FT,API,List Profiles with query parameter-limit,List Profiles with query parameter-limit,,,same as API_01,,List Profiles with query parameter-limit
FT,API,List Profiles with query parameter-offset,List Profiles with query parameter-offset,,,same as API_01,,List Profiles with query parameter-offset
FT,API,List Profiles with query parameter-sortDir,List Profiles with query parameter-sortDir,,,same as API_01,,List Profiles with query parameter-sortDir
FT,API,List Profiles with query parameter-sortKey,List Profiles with query parameter-sortKey,,,same as API_01,,List Profiles with query parameter-sortKey
